2021-05-13 21:08:20.460 [restartedMain] INFO  com.java.blog.BlogserverApplication - Starting BlogserverApplication using Java 1.8.0_152 on DESKTOP-DHVP8FV with PID 5348 (D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server\target\classes started by 万直鹏 in D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server) 
2021-05-13 21:08:20.464 [restartedMain] INFO  com.java.blog.BlogserverApplication - The following profiles are active: dev 
2021-05-13 21:08:20.547 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2021-05-13 21:08:20.547 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2021-05-13 21:08:22.221 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http) 
2021-05-13 21:08:22.232 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"] 
2021-05-13 21:08:22.233 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat] 
2021-05-13 21:08:22.233 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45] 
2021-05-13 21:08:22.342 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2021-05-13 21:08:22.343 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1792 ms 
2021-05-13 21:08:23.211 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server 
2021-05-13 21:08:23.232 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"] 
2021-05-13 21:08:23.260 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path '' 
2021-05-13 21:08:23.275 [restartedMain] INFO  com.java.blog.BlogserverApplication - Started BlogserverApplication in 4.069 seconds (JVM running for 7.293) 
2021-05-13 21:08:23.764 [http-nio-9999-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2021-05-13 21:08:23.764 [http-nio-9999-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
2021-05-13 21:08:23.766 [http-nio-9999-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms 
2021-05-13 21:08:24.046 [http-nio-9999-exec-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited 
2021-05-13 21:08:33.907 [http-nio-9999-exec-1] INFO  com.java.blog.service.AdminManageService - 管理员zpwan登陆成功 
2021-05-13 22:04:09.031 [restartedMain] INFO  com.java.blog.BlogserverApplication - Starting BlogserverApplication using Java 1.8.0_152 on DESKTOP-DHVP8FV with PID 13240 (D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server\target\classes started by 万直鹏 in D:\WORKSPACE\code\vue.js\mulitpage-blog\blog-mulitpage-server) 
